timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621218375612,214,Petición HTTP,200,OK,Pruebas UAGRO 1-65,text,true,,5404,541,174,174,https://www.pruebavotaciones.uagro.mx/registro/,49,0,0
1621218375612,214,Petición HTTP,200,OK,Pruebas UAGRO 1-68,text,true,,5404,541,174,174,https://www.pruebavotaciones.uagro.mx/registro/,48,0,0
1621218375612,49,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-65,text,true,,615,131,174,174,http://www.pruebavotaciones.uagro.mx/,49,0,0
1621218375612,48,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-68,text,true,,615,131,174,174,http://www.pruebavotaciones.uagro.mx/,48,0,0
1621218375661,49,Petición HTTP-1,302,Found,Pruebas UAGRO 1-65,text,true,,226,131,174,174,https://www.pruebavotaciones.uagro.mx/,49,0,0
1621218375660,49,Petición HTTP-1,302,Found,Pruebas UAGRO 1-68,text,true,,226,131,174,174,https://www.pruebavotaciones.uagro.mx/,49,0,0
1621218375710,62,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-65,text,true,,634,139,174,174,https://www.pruebavotaciones.uagro.mx/registro,62,0,0
1621218375709,63,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-68,text,true,,634,139,174,174,https://www.pruebavotaciones.uagro.mx/registro,63,0,0
1621218375772,54,Petición HTTP-3,200,OK,Pruebas UAGRO 1-65,text,true,,3929,140,174,174,https://www.pruebavotaciones.uagro.mx/registro/,54,0,0
1621218375772,54,Petición HTTP-3,200,OK,Pruebas UAGRO 1-68,text,true,,3929,140,174,174,https://www.pruebavotaciones.uagro.mx/registro/,54,0,0
1621218375610,216,Petición HTTP,200,OK,Pruebas UAGRO 1-61,text,true,,5404,541,174,174,https://www.pruebavotaciones.uagro.mx/registro/,50,0,0
1621218375610,216,Petición HTTP,200,OK,Pruebas UAGRO 1-59,text,true,,5404,541,174,174,https://www.pruebavotaciones.uagro.mx/registro/,48,0,0
1621218375610,50,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-61,text,true,,615,131,174,174,http://www.pruebavotaciones.uagro.mx/,50,0,0
1621218375610,48,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-59,text,true,,615,131,174,174,http://www.pruebavotaciones.uagro.mx/,48,0,0
1621218375660,49,Petición HTTP-1,302,Found,Pruebas UAGRO 1-61,text,true,,226,131,174,174,https://www.pruebavotaciones.uagro.mx/,49,0,0
1621218375658,50,Petición HTTP-1,302,Found,Pruebas UAGRO 1-59,text,true,,226,131,174,174,https://www.pruebavotaciones.uagro.mx/,50,0,0
1621218375611,215,Petición HTTP,200,OK,Pruebas UAGRO 1-58,text,true,,5404,541,174,174,https://www.pruebavotaciones.uagro.mx/registro/,48,0,0
1621218375708,64,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-59,text,true,,634,139,174,174,https://www.pruebavotaciones.uagro.mx/registro,64,0,0
1621218375611,48,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-58,text,true,,615,131,174,174,http://www.pruebavotaciones.uagro.mx/,48,0,0
1621218375659,50,Petición HTTP-1,302,Found,Pruebas UAGRO 1-58,text,true,,226,131,174,174,https://www.pruebavotaciones.uagro.mx/,50,0,0
1621218375709,63,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-58,text,true,,634,139,174,174,https://www.pruebavotaciones.uagro.mx/registro,63,0,0
1621218375772,54,Petición HTTP-3,200,OK,Pruebas UAGRO 1-58,text,true,,3929,140,174,174,https://www.pruebavotaciones.uagro.mx/registro/,54,0,0
1621218375611,215,Petición HTTP,200,OK,Pruebas UAGRO 1-67,text,true,,5404,541,174,174,https://www.pruebavotaciones.uagro.mx/registro/,49,0,0
1621218375772,54,Petición HTTP-3,200,OK,Pruebas UAGRO 1-59,text,true,,3929,140,174,174,https://www.pruebavotaciones.uagro.mx/registro/,54,0,0
1621218375611,49,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-67,text,true,,615,131,174,174,http://www.pruebavotaciones.uagro.mx/,49,0,0
1621218375610,216,Petición HTTP,200,OK,Pruebas UAGRO 1-60,text,true,,5404,541,174,174,https://www.pruebavotaciones.uagro.mx/registro/,48,0,0
1621218375661,48,Petición HTTP-1,302,Found,Pruebas UAGRO 1-67,text,true,,226,131,174,174,https://www.pruebavotaciones.uagro.mx/,48,0,0
1621218375610,48,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-60,text,true,,615,131,174,174,http://www.pruebavotaciones.uagro.mx/,48,0,0
1621218375709,63,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-67,text,true,,634,139,174,174,https://www.pruebavotaciones.uagro.mx/registro,63,0,0
1621218375709,63,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-61,text,true,,634,139,174,174,https://www.pruebavotaciones.uagro.mx/registro,63,0,0
1621218375772,54,Petición HTTP-3,200,OK,Pruebas UAGRO 1-67,text,true,,3929,140,174,174,https://www.pruebavotaciones.uagro.mx/registro/,54,0,0
1621218375658,51,Petición HTTP-1,302,Found,Pruebas UAGRO 1-60,text,true,,226,131,174,174,https://www.pruebavotaciones.uagro.mx/,51,0,0
1621218375772,54,Petición HTTP-3,200,OK,Pruebas UAGRO 1-61,text,true,,3929,140,174,174,https://www.pruebavotaciones.uagro.mx/registro/,54,0,0
1621218375709,63,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-60,text,true,,634,139,174,174,https://www.pruebavotaciones.uagro.mx/registro,63,0,0
1621218375772,54,Petición HTTP-3,200,OK,Pruebas UAGRO 1-60,text,true,,3929,140,174,174,https://www.pruebavotaciones.uagro.mx/registro/,54,0,0
1621218375611,216,Petición HTTP,200,OK,Pruebas UAGRO 1-69,text,true,,5404,541,173,173,https://www.pruebavotaciones.uagro.mx/registro/,49,0,0
1621218375610,217,Petición HTTP,200,OK,Pruebas UAGRO 1-64,text,true,,5404,541,173,173,https://www.pruebavotaciones.uagro.mx/registro/,48,0,0
1621218375611,49,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-69,text,true,,615,131,173,173,http://www.pruebavotaciones.uagro.mx/,49,0,0
1621218375610,48,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-64,text,true,,615,131,173,173,http://www.pruebavotaciones.uagro.mx/,48,0,0
1621218375661,49,Petición HTTP-1,302,Found,Pruebas UAGRO 1-69,text,true,,226,131,173,173,https://www.pruebavotaciones.uagro.mx/,49,0,0
1621218375658,51,Petición HTTP-1,302,Found,Pruebas UAGRO 1-64,text,true,,226,131,173,173,https://www.pruebavotaciones.uagro.mx/,51,0,0
1621218375710,62,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-69,text,true,,634,139,173,173,https://www.pruebavotaciones.uagro.mx/registro,62,0,0
1621218375709,63,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-64,text,true,,634,139,173,173,https://www.pruebavotaciones.uagro.mx/registro,63,0,0
1621218375772,55,Petición HTTP-3,200,OK,Pruebas UAGRO 1-69,text,true,,3929,140,173,173,https://www.pruebavotaciones.uagro.mx/registro/,55,0,0
1621218375772,55,Petición HTTP-3,200,OK,Pruebas UAGRO 1-64,text,true,,3929,140,173,173,https://www.pruebavotaciones.uagro.mx/registro/,55,0,0
1621218375611,216,Petición HTTP,200,OK,Pruebas UAGRO 1-55,text,true,,5404,541,173,173,https://www.pruebavotaciones.uagro.mx/registro/,50,0,0
1621218375611,50,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-55,text,true,,615,131,173,173,http://www.pruebavotaciones.uagro.mx/,50,0,0
1621218375661,51,Petición HTTP-1,302,Found,Pruebas UAGRO 1-55,text,true,,226,131,173,173,https://www.pruebavotaciones.uagro.mx/,51,0,0
1621218375612,215,Petición HTTP,200,OK,Pruebas UAGRO 1-66,text,true,,5404,541,173,173,https://www.pruebavotaciones.uagro.mx/registro/,49,0,0
1621218375712,60,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-55,text,true,,634,139,173,173,https://www.pruebavotaciones.uagro.mx/registro,60,0,0
1621218375612,49,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-66,text,true,,615,131,173,173,http://www.pruebavotaciones.uagro.mx/,49,0,0
1621218375772,55,Petición HTTP-3,200,OK,Pruebas UAGRO 1-55,text,true,,3929,140,173,173,https://www.pruebavotaciones.uagro.mx/registro/,55,0,0
1621218375661,49,Petición HTTP-1,302,Found,Pruebas UAGRO 1-66,text,true,,226,131,173,173,https://www.pruebavotaciones.uagro.mx/,49,0,0
